,name,type,count,amount,year,quarter,state,quarter_year
55,Peer-to-peer payments,TOTAL,285778,1544932663,2021,4,andaman-&-nicobar-islands,Q4 2021
56,Merchant payments,TOTAL,210164,322842314.6,2021,4,andaman-&-nicobar-islands,Q4 2021
57,Recharge & bill payments,TOTAL,135608,59243518.11,2021,4,andaman-&-nicobar-islands,Q4 2021
58,Financial Services,TOTAL,1718,3137965.167,2021,4,andaman-&-nicobar-islands,Q4 2021
59,Others,TOTAL,2855,2453640.143,2021,4,andaman-&-nicobar-islands,Q4 2021
60,Peer-to-peer payments,TOTAL,342649,1682328506,2022,1,andaman-&-nicobar-islands,Q1 2022
61,Merchant payments,TOTAL,284298,370091558.7,2022,1,andaman-&-nicobar-islands,Q1 2022
62,Recharge & bill payments,TOTAL,163401,71300133.66,2022,1,andaman-&-nicobar-islands,Q1 2022
63,Financial Services,TOTAL,1757,2869682.023,2022,1,andaman-&-nicobar-islands,Q1 2022
64,Others,TOTAL,2643,2440321.982,2022,1,andaman-&-nicobar-islands,Q1 2022
65,Merchant payments,TOTAL,449540,510838980.9,2022,2,andaman-&-nicobar-islands,Q2 2022
66,Peer-to-peer payments,TOTAL,437606,2088309073,2022,2,andaman-&-nicobar-islands,Q2 2022
67,Recharge & bill payments,TOTAL,179515,82232936.62,2022,2,andaman-&-nicobar-islands,Q2 2022
68,Financial Services,TOTAL,1448,2089862.393,2022,2,andaman-&-nicobar-islands,Q2 2022
69,Others,TOTAL,3108,2449496.708,2022,2,andaman-&-nicobar-islands,Q2 2022
70,Merchant payments,TOTAL,716105,693438186.3,2022,3,andaman-&-nicobar-islands,Q3 2022
71,Peer-to-peer payments,TOTAL,622217,2514535155,2022,3,andaman-&-nicobar-islands,Q3 2022
72,Recharge & bill payments,TOTAL,240766,97748065.63,2022,3,andaman-&-nicobar-islands,Q3 2022
73,Financial Services,TOTAL,1814,2166304.978,2022,3,andaman-&-nicobar-islands,Q3 2022
74,Others,TOTAL,3477,2744060.671,2022,3,andaman-&-nicobar-islands,Q3 2022
