,name,type,count,amount,year,quarter,state,quarter_year
697,Peer-to-peer payments,TOTAL,125111881,4.15E+11,2022,1,delhi,Q1 2022
698,Recharge & bill payments,TOTAL,29435981,22482865573,2022,1,delhi,Q1 2022
699,Financial Services,TOTAL,195184,271039329.1,2022,1,delhi,Q1 2022
700,Others,TOTAL,1801878,693588769.4,2022,1,delhi,Q1 2022
701,Merchant payments,TOTAL,233412802,1.22E+11,2022,2,delhi,Q2 2022
702,Peer-to-peer payments,TOTAL,143447534,4.81E+11,2022,2,delhi,Q2 2022
703,Recharge & bill payments,TOTAL,32971294,26876059610,2022,2,delhi,Q2 2022
704,Financial Services,TOTAL,160827,209425798.8,2022,2,delhi,Q2 2022
705,Others,TOTAL,641727,426563425.7,2022,2,delhi,Q2 2022
706,Merchant payments,TOTAL,276635347,1.34E+11,2022,3,delhi,Q3 2022
707,Peer-to-peer payments,TOTAL,160580425,5.09E+11,2022,3,delhi,Q3 2022
708,Recharge & bill payments,TOTAL,37572389,33177115465,2022,3,delhi,Q3 2022
709,Financial Services,TOTAL,195218,265479580.4,2022,3,delhi,Q3 2022
710,Others,TOTAL,608782,448676465.8,2022,3,delhi,Q3 2022
711,Merchant payments,TOTAL,305621913,1.53E+11,2022,4,delhi,Q4 2022
712,Peer-to-peer payments,TOTAL,171970100,5.59E+11,2022,4,delhi,Q4 2022
713,Recharge & bill payments,TOTAL,36775874,31954251758,2022,4,delhi,Q4 2022
714,Financial Services,TOTAL,228639,299454652.8,2022,4,delhi,Q4 2022
715,Others,TOTAL,606931,477098950.6,2022,4,delhi,Q4 2022
716,Peer-to-peer payments,TOTAL,27374206,44170923882,2019,1,west-bengal,Q1 2019
717,Recharge & bill payments,TOTAL,11659948,3021107712,2019,1,west-bengal,Q1 2019
718,Merchant payments,TOTAL,7636726,2645438308,2019,1,west-bengal,Q1 2019
719,Financial Services,TOTAL,525650,47986448.47,2019,1,west-bengal,Q1 2019
720,Others,TOTAL,429858,279216273.4,2019,1,west-bengal,Q1 2019
721,Peer-to-peer payments,TOTAL,20285958,48394974398,2019,2,west-bengal,Q2 2019
722,Merchant payments,TOTAL,13646142,4657258459,2019,2,west-bengal,Q2 2019
723,Recharge & bill payments,TOTAL,12129638,3676123279,2019,2,west-bengal,Q2 2019
724,Financial Services,TOTAL,421037,45646046.99,2019,2,west-bengal,Q2 2019
725,Others,TOTAL,540760,331688935.2,2019,2,west-bengal,Q2 2019
726,Merchant payments,TOTAL,30804036,8273187167,2019,3,west-bengal,Q3 2019
727,Peer-to-peer payments,TOTAL,21522913,57058405341,2019,3,west-bengal,Q3 2019
728,Recharge & bill payments,TOTAL,13011501,4832486822,2019,3,west-bengal,Q3 2019
729,Financial Services,TOTAL,558653,57054414.84,2019,3,west-bengal,Q3 2019
730,Others,TOTAL,547726,319398871.5,2019,3,west-bengal,Q3 2019
731,Peer-to-peer payments,TOTAL,67037576,76593333398,2019,4,west-bengal,Q4 2019
732,Recharge & bill payments,TOTAL,14511711,4859794690,2019,4,west-bengal,Q4 2019
733,Merchant payments,TOTAL,14187744,6477138701,2019,4,west-bengal,Q4 2019
734,Financial Services,TOTAL,653648,77047243.73,2019,4,west-bengal,Q4 2019
735,Others,TOTAL,415159,196296222.3,2019,4,west-bengal,Q4 2019
736,Peer-to-peer payments,TOTAL,28457404,82770282624,2020,1,west-bengal,Q1 2020
737,Merchant payments,TOTAL,19779392,8097859089,2020,1,west-bengal,Q1 2020
738,Recharge & bill payments,TOTAL,17448908,5550815440,2020,1,west-bengal,Q1 2020
739,Financial Services,TOTAL,210068,58280893.55,2020,1,west-bengal,Q1 2020
740,Others,TOTAL,354609,176067145.3,2020,1,west-bengal,Q1 2020
741,Peer-to-peer payments,TOTAL,24855687,84984004331,2020,2,west-bengal,Q2 2020
742,Recharge & bill payments,TOTAL,22220012,7496845562,2020,2,west-bengal,Q2 2020
743,Merchant payments,TOTAL,10225729,7404190138,2020,2,west-bengal,Q2 2020
744,Financial Services,TOTAL,130595,89987205.23,2020,2,west-bengal,Q2 2020
745,Others,TOTAL,244774,124404641.8,2020,2,west-bengal,Q2 2020
746,Peer-to-peer payments,TOTAL,37556349,1.33E+11,2020,3,west-bengal,Q3 2020
747,Recharge & bill payments,TOTAL,22284079,8768630923,2020,3,west-bengal,Q3 2020
748,Merchant payments,TOTAL,19599024,14614394375,2020,3,west-bengal,Q3 2020
749,Financial Services,TOTAL,151996,125973420.9,2020,3,west-bengal,Q3 2020
750,Others,TOTAL,363056,183680984.1,2020,3,west-bengal,Q3 2020
751,Peer-to-peer payments,TOTAL,46437233,1.66E+11,2020,4,west-bengal,Q4 2020
752,Merchant payments,TOTAL,30077510,22241302941,2020,4,west-bengal,Q4 2020
753,Recharge & bill payments,TOTAL,23158305,10074605883,2020,4,west-bengal,Q4 2020
754,Financial Services,TOTAL,178455,164241191.7,2020,4,west-bengal,Q4 2020
755,Others,TOTAL,489142,293466753.6,2020,4,west-bengal,Q4 2020
756,Peer-to-peer payments,TOTAL,53869075,2.02E+11,2021,1,west-bengal,Q1 2021
757,Merchant payments,TOTAL,37143701,28918343691,2021,1,west-bengal,Q1 2021
758,Recharge & bill payments,TOTAL,26673733,11339665945,2021,1,west-bengal,Q1 2021
759,Financial Services,TOTAL,166727,175445811.9,2021,1,west-bengal,Q1 2021
760,Others,TOTAL,400816,263502545.1,2021,1,west-bengal,Q1 2021
761,Peer-to-peer payments,TOTAL,64661051,2.31E+11,2021,2,west-bengal,Q2 2021
762,Merchant payments,TOTAL,41696787,34787867208,2021,2,west-bengal,Q2 2021
763,Recharge & bill payments,TOTAL,34799709,13331453858,2021,2,west-bengal,Q2 2021
764,Financial Services,TOTAL,190537,186466487.6,2021,2,west-bengal,Q2 2021
765,Others,TOTAL,549353,316744715.7,2021,2,west-bengal,Q2 2021
766,Peer-to-peer payments,TOTAL,84353949,2.95E+11,2021,3,west-bengal,Q3 2021
767,Merchant payments,TOTAL,58800005,50971169851,2021,3,west-bengal,Q3 2021
768,Recharge & bill payments,TOTAL,37556310,16045754099,2021,3,west-bengal,Q3 2021
769,Financial Services,TOTAL,189087,213411736.4,2021,3,west-bengal,Q3 2021
770,Others,TOTAL,813637,426999219.4,2021,3,west-bengal,Q3 2021
771,Peer-to-peer payments,TOTAL,105728377,3.72E+11,2021,4,west-bengal,Q4 2021
772,Merchant payments,TOTAL,80248673,71231577539,2021,4,west-bengal,Q4 2021
773,Recharge & bill payments,TOTAL,37801439,17813903245,2021,4,west-bengal,Q4 2021
774,Financial Services,TOTAL,252535,270791056.7,2021,4,west-bengal,Q4 2021
775,Others,TOTAL,998536,660874216.5,2021,4,west-bengal,Q4 2021
776,Peer-to-peer payments,TOTAL,124787028,4.46E+11,2022,1,west-bengal,Q1 2022
777,Merchant payments,TOTAL,97315025,85854730616,2022,1,west-bengal,Q1 2022
778,Recharge & bill payments,TOTAL,37317865,18435424278,2022,1,west-bengal,Q1 2022
779,Financial Services,TOTAL,239530,261096608.8,2022,1,west-bengal,Q1 2022
780,Others,TOTAL,845644,531671268.6,2022,1,west-bengal,Q1 2022
781,Peer-to-peer payments,TOTAL,145395450,5.20E+11,2022,2,west-bengal,Q2 2022
782,Merchant payments,TOTAL,126682135,1.07E+11,2022,2,west-bengal,Q2 2022
783,Recharge & bill payments,TOTAL,42712193,20697301165,2022,2,west-bengal,Q2 2022
784,Financial Services,TOTAL,191724,199770753.2,2022,2,west-bengal,Q2 2022
785,Others,TOTAL,760639,438407071.9,2022,2,west-bengal,Q2 2022
786,Peer-to-peer payments,TOTAL,163523844,5.56E+11,2022,3,west-bengal,Q3 2022
787,Merchant payments,TOTAL,145181044,1.24E+11,2022,3,west-bengal,Q3 2022
788,Recharge & bill payments,TOTAL,47208496,24221425247,2022,3,west-bengal,Q3 2022
789,Financial Services,TOTAL,238746,241288774.2,2022,3,west-bengal,Q3 2022
790,Others,TOTAL,640258,451918188.2,2022,3,west-bengal,Q3 2022
791,Peer-to-peer payments,TOTAL,184380244,6.20E+11,2022,4,west-bengal,Q4 2022
792,Merchant payments,TOTAL,171667404,1.41E+11,2022,4,west-bengal,Q4 2022
793,Recharge & bill payments,TOTAL,48921147,26026633153,2022,4,west-bengal,Q4 2022
794,Financial Services,TOTAL,268388,261122865.5,2022,4,west-bengal,Q4 2022
795,Others,TOTAL,610414,457937874.8,2022,4,west-bengal,Q4 2022
796,Peer-to-peer payments,TOTAL,32062452,68506766330,2019,1,uttar-pradesh,Q1 2019
797,Recharge & bill payments,TOTAL,15400713,4231102033,2019,1,uttar-pradesh,Q1 2019
798,Merchant payments,TOTAL,8558766,3105904146,2019,1,uttar-pradesh,Q1 2019
799,Financial Services,TOTAL,389733,43341558.49,2019,1,uttar-pradesh,Q1 2019
800,Others,TOTAL,912840,637066065.9,2019,1,uttar-pradesh,Q1 2019
801,Peer-to-peer payments,TOTAL,27105049,87581482659,2019,2,uttar-pradesh,Q2 2019
802,Recharge & bill payments,TOTAL,17551537,5627886176,2019,2,uttar-pradesh,Q2 2019
803,Merchant payments,TOTAL,12733089,4894223107,2019,2,uttar-pradesh,Q2 2019
804,Financial Services,TOTAL,264091,38169259.95,2019,2,uttar-pradesh,Q2 2019
805,Others,TOTAL,1229734,775758168.4,2019,2,uttar-pradesh,Q2 2019
806,Peer-to-peer payments,TOTAL,26990786,95134023864,2019,3,uttar-pradesh,Q3 2019
807,Recharge & bill payments,TOTAL,20359672,8000160943,2019,3,uttar-pradesh,Q3 2019
808,Merchant payments,TOTAL,19625935,7399443975,2019,3,uttar-pradesh,Q3 2019
809,Financial Services,TOTAL,258548,51363215.15,2019,3,uttar-pradesh,Q3 2019
810,Others,TOTAL,1389018,683145478.1,2019,3,uttar-pradesh,Q3 2019
811,Peer-to-peer payments,TOTAL,40540310,1.27E+11,2019,4,uttar-pradesh,Q4 2019
812,Recharge & bill payments,TOTAL,24299776,9082140370,2019,4,uttar-pradesh,Q4 2019
813,Merchant payments,TOTAL,20582052,9412924985,2019,4,uttar-pradesh,Q4 2019
814,Financial Services,TOTAL,242936,45686806.83,2019,4,uttar-pradesh,Q4 2019
815,Others,TOTAL,1239931,433285937.6,2019,4,uttar-pradesh,Q4 2019
816,Peer-to-peer payments,TOTAL,39581157,1.48E+11,2020,1,uttar-pradesh,Q1 2020
817,Recharge & bill payments,TOTAL,29777603,11168417431,2020,1,uttar-pradesh,Q1 2020
818,Merchant payments,TOTAL,26741638,13072371617,2020,1,uttar-pradesh,Q1 2020
819,Financial Services,TOTAL,139990,64365117.41,2020,1,uttar-pradesh,Q1 2020
820,Others,TOTAL,998744,376573949.2,2020,1,uttar-pradesh,Q1 2020
821,Recharge & bill payments,TOTAL,42229417,14668026056,2020,2,uttar-pradesh,Q2 2020
822,Peer-to-peer payments,TOTAL,39434202,1.50E+11,2020,2,uttar-pradesh,Q2 2020
823,Merchant payments,TOTAL,18625913,13655151083,2020,2,uttar-pradesh,Q2 2020
824,Financial Services,TOTAL,150360,131930242.9,2020,2,uttar-pradesh,Q2 2020
825,Others,TOTAL,412073,209384339.6,2020,2,uttar-pradesh,Q2 2020
826,Peer-to-peer payments,TOTAL,54449911,2.08E+11,2020,3,uttar-pradesh,Q3 2020
827,Recharge & bill payments,TOTAL,37465163,16437365641,2020,3,uttar-pradesh,Q3 2020
828,Merchant payments,TOTAL,34697942,24224433241,2020,3,uttar-pradesh,Q3 2020
829,Financial Services,TOTAL,206210,194129227.5,2020,3,uttar-pradesh,Q3 2020
830,Others,TOTAL,586033,303114557.1,2020,3,uttar-pradesh,Q3 2020
831,Peer-to-peer payments,TOTAL,75433782,2.94E+11,2020,4,uttar-pradesh,Q4 2020
832,Merchant payments,TOTAL,61922138,44438824681,2020,4,uttar-pradesh,Q4 2020
833,Recharge & bill payments,TOTAL,39570153,17793973969,2020,4,uttar-pradesh,Q4 2020
834,Financial Services,TOTAL,246868,255803306.1,2020,4,uttar-pradesh,Q4 2020
835,Others,TOTAL,994576,539071475.9,2020,4,uttar-pradesh,Q4 2020
836,Peer-to-peer payments,TOTAL,85539321,3.22E+11,2021,1,uttar-pradesh,Q1 2021
837,Merchant payments,TOTAL,78873969,55362244381,2021,1,uttar-pradesh,Q1 2021
838,Recharge & bill payments,TOTAL,38981894,18563189222,2021,1,uttar-pradesh,Q1 2021
839,Financial Services,TOTAL,250656,266104783.7,2021,1,uttar-pradesh,Q1 2021
840,Others,TOTAL,853707,486435811.4,2021,1,uttar-pradesh,Q1 2021
841,Peer-to-peer payments,TOTAL,102927942,3.89E+11,2021,2,uttar-pradesh,Q2 2021
842,Merchant payments,TOTAL,84860582,70351401160,2021,2,uttar-pradesh,Q2 2021
843,Recharge & bill payments,TOTAL,53030710,22266927129,2021,2,uttar-pradesh,Q2 2021
844,Financial Services,TOTAL,270944,266853066.8,2021,2,uttar-pradesh,Q2 2021
845,Others,TOTAL,858953,525487682.6,2021,2,uttar-pradesh,Q2 2021
846,Peer-to-peer payments,TOTAL,127945827,4.41E+11,2021,3,uttar-pradesh,Q3 2021
847,Merchant payments,TOTAL,126699830,91089049637,2021,3,uttar-pradesh,Q3 2021
848,Recharge & bill payments,TOTAL,50414232,24348150110,2021,3,uttar-pradesh,Q3 2021
849,Financial Services,TOTAL,253418,292009129,2021,3,uttar-pradesh,Q3 2021
850,Others,TOTAL,1230077,624716522.1,2021,3,uttar-pradesh,Q3 2021
851,Merchant payments,TOTAL,183966052,1.43E+11,2021,4,uttar-pradesh,Q4 2021
852,Peer-to-peer payments,TOTAL,167503176,6.01E+11,2021,4,uttar-pradesh,Q4 2021
853,Recharge & bill payments,TOTAL,52863531,28812549098,2021,4,uttar-pradesh,Q4 2021
854,Financial Services,TOTAL,353219,386356976.5,2021,4,uttar-pradesh,Q4 2021
855,Others,TOTAL,1471954,829152405.3,2021,4,uttar-pradesh,Q4 2021
856,Merchant payments,TOTAL,221556930,1.66E+11,2022,1,uttar-pradesh,Q1 2022
857,Peer-to-peer payments,TOTAL,195592648,6.85E+11,2022,1,uttar-pradesh,Q1 2022
858,Recharge & bill payments,TOTAL,54873261,31683813998,2022,1,uttar-pradesh,Q1 2022
859,Financial Services,TOTAL,358499,386218170.6,2022,1,uttar-pradesh,Q1 2022
860,Others,TOTAL,1571908,750327356.1,2022,1,uttar-pradesh,Q1 2022
861,Merchant payments,TOTAL,298721048,2.16E+11,2022,2,uttar-pradesh,Q2 2022
862,Peer-to-peer payments,TOTAL,232444860,8.13E+11,2022,2,uttar-pradesh,Q2 2022
863,Recharge & bill payments,TOTAL,62659780,37867966759,2022,2,uttar-pradesh,Q2 2022
864,Financial Services,TOTAL,268349,285646084.3,2022,2,uttar-pradesh,Q2 2022
865,Others,TOTAL,1204739,606123265.1,2022,2,uttar-pradesh,Q2 2022
866,Merchant payments,TOTAL,361972506,2.32E+11,2022,3,uttar-pradesh,Q3 2022
867,Peer-to-peer payments,TOTAL,267205027,8.45E+11,2022,3,uttar-pradesh,Q3 2022
868,Recharge & bill payments,TOTAL,72984811,43854148173,2022,3,uttar-pradesh,Q3 2022
869,Financial Services,TOTAL,367887,344330142.1,2022,3,uttar-pradesh,Q3 2022
870,Others,TOTAL,1058841,601411350.4,2022,3,uttar-pradesh,Q3 2022
871,Merchant payments,TOTAL,439247166,2.97E+11,2022,4,uttar-pradesh,Q4 2022
872,Peer-to-peer payments,TOTAL,317613698,1.03E+12,2022,4,uttar-pradesh,Q4 2022
873,Recharge & bill payments,TOTAL,78025017,48159073835,2022,4,uttar-pradesh,Q4 2022
874,Financial Services,TOTAL,418329,430212917.3,2022,4,uttar-pradesh,Q4 2022
875,Others,TOTAL,1064861,661985014.8,2022,4,uttar-pradesh,Q4 2022
876,Peer-to-peer payments,TOTAL,378848,1310759848,2019,1,goa,Q1 2019
877,Recharge & bill payments,TOTAL,275277,78212835.04,2019,1,goa,Q1 2019
878,Merchant payments,TOTAL,74527,75946974.41,2019,1,goa,Q1 2019
879,Financial Services,TOTAL,2013,499592.0967,2019,1,goa,Q1 2019
880,Others,TOTAL,8147,9904147.91,2019,1,goa,Q1 2019
881,Peer-to-peer payments,TOTAL,373759,1391933791,2019,2,goa,Q2 2019
882,Recharge & bill payments,TOTAL,278060,93218689.42,2019,2,goa,Q2 2019
883,Merchant payments,TOTAL,104592,92873008.65,2019,2,goa,Q2 2019
884,Financial Services,TOTAL,1211,515859.8077,2019,2,goa,Q2 2019
885,Others,TOTAL,10819,13325754.76,2019,2,goa,Q2 2019
886,Peer-to-peer payments,TOTAL,475178,1704668027,2019,3,goa,Q3 2019
887,Recharge & bill payments,TOTAL,453806,157952855,2019,3,goa,Q3 2019
888,Merchant payments,TOTAL,150578,123948570.6,2019,3,goa,Q3 2019
889,Financial Services,TOTAL,1510,1282344.844,2019,3,goa,Q3 2019
890,Others,TOTAL,11344,12515394.12,2019,3,goa,Q3 2019
891,Peer-to-peer payments,TOTAL,698728,2484453030,2019,4,goa,Q4 2019
892,Recharge & bill payments,TOTAL,552421,205602115.1,2019,4,goa,Q4 2019
893,Merchant payments,TOTAL,250893,218404664.9,2019,4,goa,Q4 2019
894,Financial Services,TOTAL,1497,649712.8451,2019,4,goa,Q4 2019
895,Others,TOTAL,11733,14350825.33,2019,4,goa,Q4 2019
896,Peer-to-peer payments,TOTAL,817198,2851686769,2020,1,goa,Q1 2020
897,Recharge & bill payments,TOTAL,678079,244739382.2,2020,1,goa,Q1 2020
898,Merchant payments,TOTAL,373110,298421548.1,2020,1,goa,Q1 2020
899,Financial Services,TOTAL,1762,1816477.569,2020,1,goa,Q1 2020
900,Others,TOTAL,11088,13707055.39,2020,1,goa,Q1 2020
901,Recharge & bill payments,TOTAL,758617,241196540.9,2020,2,goa,Q2 2020
902,Peer-to-peer payments,TOTAL,493326,1766723888,2020,2,goa,Q2 2020
903,Merchant payments,TOTAL,221358,168591711.9,2020,2,goa,Q2 2020
904,Financial Services,TOTAL,3081,3328361.318,2020,2,goa,Q2 2020
905,Others,TOTAL,5710,3775927.611,2020,2,goa,Q2 2020
906,Peer-to-peer payments,TOTAL,759351,2723430713,2020,3,goa,Q3 2020
907,Recharge & bill payments,TOTAL,696770,280187505,2020,3,goa,Q3 2020
908,Merchant payments,TOTAL,446880,353193881.5,2020,3,goa,Q3 2020
909,Financial Services,TOTAL,4985,6418950.467,2020,3,goa,Q3 2020
910,Others,TOTAL,7545,5112530.621,2020,3,goa,Q3 2020
911,Peer-to-peer payments,TOTAL,1550251,5407626413,2020,4,goa,Q4 2020
912,Merchant payments,TOTAL,1389834,1123844213,2020,4,goa,Q4 2020
913,Recharge & bill payments,TOTAL,839199,345088772.4,2020,4,goa,Q4 2020
914,Financial Services,TOTAL,7287,10386560.39,2020,4,goa,Q4 2020
915,Others,TOTAL,14810,12846789.25,2020,4,goa,Q4 2020
916,Peer-to-peer payments,TOTAL,2235456,7553384653,2021,1,goa,Q1 2021
917,Merchant payments,TOTAL,2195509,1768358977,2021,1,goa,Q1 2021
918,Recharge & bill payments,TOTAL,880682,410604192.7,2021,1,goa,Q1 2021
919,Financial Services,TOTAL,8138,12207778.15,2021,1,goa,Q1 2021
920,Others,TOTAL,11764,12687278.26,2021,1,goa,Q1 2021
921,Merchant payments,TOTAL,1869384,1411529034,2021,2,goa,Q2 2021
922,Peer-to-peer payments,TOTAL,1866837,6195032351,2021,2,goa,Q2 2021
923,Recharge & bill payments,TOTAL,953219,383804809.4,2021,2,goa,Q2 2021
924,Financial Services,TOTAL,8303,12371843.84,2021,2,goa,Q2 2021
925,Others,TOTAL,12392,10115549.03,2021,2,goa,Q2 2021
926,Merchant payments,TOTAL,2865625,2143135315,2021,3,goa,Q3 2021
927,Peer-to-peer payments,TOTAL,2560305,7871092673,2021,3,goa,Q3 2021
928,Recharge & bill payments,TOTAL,1017351,438838003.2,2021,3,goa,Q3 2021
929,Financial Services,TOTAL,8337,12943224.07,2021,3,goa,Q3 2021
930,Others,TOTAL,16145,12416377.6,2021,3,goa,Q3 2021
931,Merchant payments,TOTAL,5474662,4384250603,2021,4,goa,Q4 2021
932,Peer-to-peer payments,TOTAL,4408822,13618351953,2021,4,goa,Q4 2021
933,Recharge & bill payments,TOTAL,1170180,585734312.4,2021,4,goa,Q4 2021
934,Financial Services,TOTAL,11320,17101084.66,2021,4,goa,Q4 2021
935,Others,TOTAL,23775,21819163.2,2021,4,goa,Q4 2021
936,Merchant payments,TOTAL,6364271,4682000388,2022,1,goa,Q1 2022
937,Peer-to-peer payments,TOTAL,4640380,14449830642,2022,1,goa,Q1 2022
938,Recharge & bill payments,TOTAL,1177071,646403472.1,2022,1,goa,Q1 2022
939,Financial Services,TOTAL,11677,17490493.19,2022,1,goa,Q1 2022
940,Others,TOTAL,20699,20720407.6,2022,1,goa,Q1 2022
941,Merchant payments,TOTAL,7812998,5736211014,2022,2,goa,Q2 2022
942,Peer-to-peer payments,TOTAL,5097942,16372343177,2022,2,goa,Q2 2022
943,Recharge & bill payments,TOTAL,1279377,738765635.3,2022,2,goa,Q2 2022
944,Financial Services,TOTAL,10666,13192736.03,2022,2,goa,Q2 2022
945,Others,TOTAL,15071,12525197.3,2022,2,goa,Q2 2022
946,Merchant payments,TOTAL,7595135,5112175255,2022,3,goa,Q3 2022
947,Peer-to-peer payments,TOTAL,4449008,13780955270,2022,3,goa,Q3 2022
948,Recharge & bill payments,TOTAL,1122869,657115143.5,2022,3,goa,Q3 2022
949,Financial Services,TOTAL,9992,12650738.42,2022,3,goa,Q3 2022
950,Others,TOTAL,11683,11368868.04,2022,3,goa,Q3 2022
951,Merchant payments,TOTAL,10319138,6739205748,2022,4,goa,Q4 2022
952,Peer-to-peer payments,TOTAL,5652373,17421974715,2022,4,goa,Q4 2022
953,Recharge & bill payments,TOTAL,1195865,734121700.6,2022,4,goa,Q4 2022
954,Financial Services,TOTAL,12147,15705663.13,2022,4,goa,Q4 2022
955,Others,TOTAL,13151,13978544.18,2022,4,goa,Q4 2022
956,Peer-to-peer payments,TOTAL,4026294,12027441596,2019,1,punjab,Q1 2019
957,Recharge & bill payments,TOTAL,2304690,986004867.8,2019,1,punjab,Q1 2019
958,Merchant payments,TOTAL,711152,478382600.6,2019,1,punjab,Q1 2019
959,Financial Services,TOTAL,45621,6871295.955,2019,1,punjab,Q1 2019
960,Others,TOTAL,84380,75789641.76,2019,1,punjab,Q1 2019
961,Peer-to-peer payments,TOTAL,4140474,16258891447,2019,2,punjab,Q2 2019
962,Recharge & bill payments,TOTAL,2815047,1440058991,2019,2,punjab,Q2 2019
963,Merchant payments,TOTAL,1407963,815090878,2019,2,punjab,Q2 2019
964,Financial Services,TOTAL,37435,6876144.455,2019,2,punjab,Q2 2019
965,Others,TOTAL,108911,93875933.52,2019,2,punjab,Q2 2019
966,Peer-to-peer payments,TOTAL,4726946,19146726287,2019,3,punjab,Q3 2019
967,Recharge & bill payments,TOTAL,3455594,2481094965,2019,3,punjab,Q3 2019
968,Merchant payments,TOTAL,2374014,1183743251,2019,3,punjab,Q3 2019
969,Financial Services,TOTAL,32359,7912219.734,2019,3,punjab,Q3 2019
970,Others,TOTAL,117899,86338883.28,2019,3,punjab,Q3 2019
971,Peer-to-peer payments,TOTAL,6386367,25564144630,2019,4,punjab,Q4 2019
972,Recharge & bill payments,TOTAL,4068332,2622222199,2019,4,punjab,Q4 2019
973,Merchant payments,TOTAL,3122413,1741259163,2019,4,punjab,Q4 2019
974,Financial Services,TOTAL,22956,6382345.43,2019,4,punjab,Q4 2019
975,Others,TOTAL,98557,55793908.46,2019,4,punjab,Q4 2019
976,Peer-to-peer payments,TOTAL,6339183,26350005915,2020,1,punjab,Q1 2020
977,Recharge & bill payments,TOTAL,4935115,2767419473,2020,1,punjab,Q1 2020
978,Merchant payments,TOTAL,3838480,2196329615,2020,1,punjab,Q1 2020
979,Financial Services,TOTAL,17924,10987850.96,2020,1,punjab,Q1 2020
980,Others,TOTAL,87082,49442411.67,2020,1,punjab,Q1 2020
981,Recharge & bill payments,TOTAL,6064807,3089758241,2020,2,punjab,Q2 2020
982,Peer-to-peer payments,TOTAL,5639212,25074384847,2020,2,punjab,Q2 2020
983,Merchant payments,TOTAL,2290868,2058898904,2020,2,punjab,Q2 2020
984,Financial Services,TOTAL,23314,23704957.88,2020,2,punjab,Q2 2020
985,Others,TOTAL,63093,37907301.35,2020,2,punjab,Q2 2020
986,Peer-to-peer payments,TOTAL,7354451,32477438924,2020,3,punjab,Q3 2020
987,Recharge & bill payments,TOTAL,5478668,4066750821,2020,3,punjab,Q3 2020
988,Merchant payments,TOTAL,4261548,3490665357,2020,3,punjab,Q3 2020
989,Financial Services,TOTAL,32390,42060249.33,2020,3,punjab,Q3 2020
990,Others,TOTAL,82516,46176796.08,2020,3,punjab,Q3 2020
991,Peer-to-peer payments,TOTAL,9609405,43286909257,2020,4,punjab,Q4 2020
992,Merchant payments,TOTAL,7144295,6142380827,2020,4,punjab,Q4 2020
993,Recharge & bill payments,TOTAL,6072201,4201551870,2020,4,punjab,Q4 2020
994,Financial Services,TOTAL,38820,51677182.32,2020,4,punjab,Q4 2020
995,Others,TOTAL,133204,92887343.34,2020,4,punjab,Q4 2020
996,Peer-to-peer payments,TOTAL,10951083,46908632143,2021,1,punjab,Q1 2021
997,Merchant payments,TOTAL,9333364,7651004599,2021,1,punjab,Q1 2021
998,Recharge & bill payments,TOTAL,6332928,3980874403,2021,1,punjab,Q1 2021
999,Financial Services,TOTAL,43094,52009482.41,2021,1,punjab,Q1 2021
1000,Others,TOTAL,110366,98366463.19,2021,1,punjab,Q1 2021
1001,Peer-to-peer payments,TOTAL,13180933,55282486111,2021,2,punjab,Q2 2021
1002,Merchant payments,TOTAL,11225598,9710508482,2021,2,punjab,Q2 2021
1003,Recharge & bill payments,TOTAL,7591039,4370756869,2021,2,punjab,Q2 2021
1004,Financial Services,TOTAL,46218,53309051.07,2021,2,punjab,Q2 2021
1005,Others,TOTAL,127460,113998049.3,2021,2,punjab,Q2 2021
1006,Peer-to-peer payments,TOTAL,17024782,66149902036,2021,3,punjab,Q3 2021
1007,Merchant payments,TOTAL,16837685,14103740969,2021,3,punjab,Q3 2021
1008,Recharge & bill payments,TOTAL,8465739,5540272095,2021,3,punjab,Q3 2021
1009,Financial Services,TOTAL,43789,63576666.59,2021,3,punjab,Q3 2021
1010,Others,TOTAL,161494,135069073.8,2021,3,punjab,Q3 2021
1011,Merchant payments,TOTAL,22669743,20753662876,2021,4,punjab,Q4 2021
1012,Peer-to-peer payments,TOTAL,20663881,83611403637,2021,4,punjab,Q4 2021
1013,Recharge & bill payments,TOTAL,8765579,6107473172,2021,4,punjab,Q4 2021
1014,Financial Services,TOTAL,58581,86356456.6,2021,4,punjab,Q4 2021
1015,Others,TOTAL,201576,151230100.6,2021,4,punjab,Q4 2021
1016,Merchant payments,TOTAL,25979197,23217511697,2022,1,punjab,Q1 2022
1017,Peer-to-peer payments,TOTAL,22354946,88645204329,2022,1,punjab,Q1 2022
1018,Recharge & bill payments,TOTAL,9188439,6317909909,2022,1,punjab,Q1 2022
1019,Financial Services,TOTAL,57561,83933665.01,2022,1,punjab,Q1 2022
1020,Others,TOTAL,178159,125418507,2022,1,punjab,Q1 2022
1021,Merchant payments,TOTAL,35941880,28585688544,2022,2,punjab,Q2 2022
1022,Peer-to-peer payments,TOTAL,25952349,1.01E+11,2022,2,punjab,Q2 2022
1023,Recharge & bill payments,TOTAL,10161030,7652499714,2022,2,punjab,Q2 2022
1024,Financial Services,TOTAL,50483,57234782.46,2022,2,punjab,Q2 2022
1025,Others,TOTAL,167081,111934787.8,2022,2,punjab,Q2 2022
1026,Merchant payments,TOTAL,43089589,32370885165,2022,3,punjab,Q3 2022
1027,Peer-to-peer payments,TOTAL,29862592,1.08E+11,2022,3,punjab,Q3 2022
